Column1,Column2
"Sandakan to Babar Azam, 1 run, throws it wide of off-stump and Azam drives it to sweeper cover",24.4
"Sandakan to Fakhar Zaman, 1 run, fuller in length and Zaman pushes it to the right of Sandakan, who cannot stop it with a slide",24.3
"Sandakan to Babar Azam, 1 run, googly and Azam punches it with the spin towards sweeper cover",24.2
"Sandakan to Fakhar Zaman, 1 run, fraction short and Zaman slaps it to sweeper cover",24.1
"Wanidu Hasaranga to Fakhar Zaman, 1 run, wrong 'un turning away, Zaman directs it towards point",23.6
"Wanidu Hasaranga to Fakhar Zaman, FOUR, second boundary of the over as Zaman decides to take on Hasaranga. Lands it full and that allows Zaman to get under the ball, he then uses his power to heave it wide of long-on",23.5
"Wanidu Hasaranga to Fakhar Zaman, no run, spinning in and Zaman's forward push is off the inside edge to mid-wicket",23.4
"Wanidu Hasaranga to Babar Azam, 1 run, tossed up outside off, Azam eases it in front of square on the off-side",23.3
"Wanidu Hasaranga to Babar Azam, FOUR, a couple of dots in the previous over and Azam thinks he has to take on the bowling. Shimmies down the wicket, gets close to the pitch of the ball and thumps it straight back over the umpire",23.2
"Wanidu Hasaranga to Fakhar Zaman, 1 run, low dipping full toss and Zaman whips it to deep mid-wicket",23.1
"Sandakan to Babar Azam, no run, once more overpitches the delivery and Azam drives it straight back to Sandakan",22.6
"Sandakan to Babar Azam, no run, comes down the track and closes the bat face to work the googly into the on-side, the leading edge pops up and lands well in front of the cover fielder",22.5
"Sandakan to Fakhar Zaman, 1 run, drifting on the pads and Zaman tucks it towards square leg",22.4
"Sandakan to Babar Azam, 1 run, overcooks the flighted delivery and Azam drives it to long-on",22.3
"Sandakan to Babar Azam, no run, tossed up around off, Azam defends with a straight bat",22.2
"Sandakan to Fakhar Zaman, 1 run, floated up outside off, Zaman eases it square on the off-side",22.1
"Wanidu Hasaranga to Babar Azam, no run, wrong 'un outside off, Azam is solid in his forward block",21.6
"Wanidu Hasaranga to Fakhar Zaman, 1 run, gets a big stride forward and sweeps with the spin to deep backward square",21.5
"Wanidu Hasaranga to Fakhar Zaman, no run, lovely drift across the left hander and Zaman defends down the wicket",21.4
"Wanidu Hasaranga to Fakhar Zaman, no run, sharp turn and Zaman is on the forward press to ease it to long-off, but the spin in takes the inside edge and deflects onto the pad",21.3
"Wanidu Hasaranga to Fakhar Zaman, no run, tossed up on off, Zaman inside halves the push to mid-wicket",21.2
"Wanidu Hasaranga to Babar Azam, 1 run, flighted outside off and Azam eases the forward push past cover",21.1
"Sandakan to Babar Azam, 1 run, once more leg-lined and Azam nurdles it backward of square, for a single",20.6
"Sandakan to Fakhar Zaman, 1 run, wrong 'un spinning into the pads, Zaman works it towards square leg",20.5
"Sandakan to Babar Azam, 1 run, wrong 'un on leg-stump, Azam picked it neatly and nudged it square on the leg-side",20.4
"Sandakan to Fakhar Zaman, 1 run, fifty for Zaman. This has been an hard fought innings. He struggled at the start but has battled on and now Pakistan will want him to carry on deep into the innings. A floaty delivery outside off and Zaman reaches out to loft it over extra cover, sliced over backward point and he is content with a single. Azam walks up for a handshake and Zaman then raises his bat to acknowledge the applause",20.3
"Sandakan to Fakhar Zaman, no run, wrong 'un and Zaman didn't have a clue about it, stayed rooted to the crease and kept it out",20.2
"Sandakan to Fakhar Zaman, no run, flighted outside off, Zaman thought it was short enough to cut and goes after it, beaten",20.1
"Wanidu Hasaranga to Fakhar Zaman, 1 run, fraction short and Zaman has space to maneuver this into the vacant point region",19.6
"Wanidu Hasaranga to Fakhar Zaman, no run, shortens the length and cramps the left hander for room, Zaman knocks it back",19.5
"Wanidu Hasaranga to Babar Azam, 1 run, floated up outside off and Azam takes it on the full, drives it to long-off",19.4
"Wanidu Hasaranga to Abid Ali, out Lbw!! Umpire Joel Wilson's bad fortune has traveled all the way from England to Pakistan. Another one of his decisions has been overturned by DRS. It was the googly and Ali did not pick it, he went deep in the crease to work it into the off-side, beaten by the in-turn and struck low on the back pad, ball-tracking showed it to be hitting the leg-stump. Sri Lanka went for the review as soon as Wilson made his decision and were even celebrating before the ball-tracking came into the picture, that's how confident they were. A fine knock from Ali comes to an end. Abid Ali lbw b Wanidu Hasaranga 74(67) [4s-10]",19.3
"Wanidu Hasaranga to Abid Ali, 2 runs, in the air and safe. Ali went for the slog sweep but the extra bounce on the leg-break foiled his shot, the top-edge lands safely near the deep mid-wicket region",19.2
"Wanidu Hasaranga to Abid Ali, no run, looped up leg-break and Ali defends with an angled bat to backward point",19.1
"Jayasuriya to Abid Ali, 3 runs, waits and waits to play the late cut, gets it fine past short third man and Kumara has a long chase, he just manages to get there and haul it in, saved a run for Sri Lanka",18.6
"Jayasuriya to Abid Ali, no run, spinning in and Ali works it to mid-wicket, where the single is cut off",18.5
"Jayasuriya to Fakhar Zaman, 1 run, tossed up outside off, Zaman squeezes the drive to sweeper cover",18.4
"Jayasuriya to Fakhar Zaman, no run, flatter in trajectory and Zaman knocks it straight to mid-wicket",18.3
"Jayasuriya to Fakhar Zaman, no run, drifting in with the angle and Zaman defends it to mid-wicket",18.2
"Jayasuriya to Abid Ali, 1 run, lands the flighted delivery on a fullish length and Ali eases it to long-on",18.1
"Wanidu Hasaranga to Abid Ali, 1 run, fraction short and Ali chops the cut past backward point, for a single",17.6
"Wanidu Hasaranga to Abid Ali, no run, wrong 'un and Ali did not pick it, he went for the drive against the spin and the inside edge thuds into the pad",17.5
"Wanidu Hasaranga to Fakhar Zaman, 1 run, quicker and skidding on, Zaman bunts it wide of cover",17.4
