Column1,Column2
"Kedar Jadhav to Latham, 1 run, flatter and shorter outside off, whipped off the back foot down to long-on",19.6
"Kedar Jadhav to Williamson, 1 run, tossed up generously, very full and driven towards extra cover",19.5
"Kedar Jadhav to Williamson, wide, harsh call I guess! Drifted away from Williamson who went for the cut but got beaten",19.5
"Kedar Jadhav to Williamson, no run, another slow slinger with a bit of flight, punched to mid-off where there is a fumble. The batsmen had a mix uo again but this time, quickly abort the single",19.4
"Kedar Jadhav to Latham, 1 run, slings this in on a fuller length, driven down the ground to long-off",19.3
"Kedar Jadhav to Williamson, 1 run, fuller and on leg stump, paddled away down towards fine leg",19.2
"Kedar Jadhav to Williamson, no run, nearly a run out! Would have been a crazy dismissal but Jadhav can't hit the stumps at the bowler's end. Was worked to mid-wicket and Rohit quickly threw it towards the bowler sensing Latham's anxiousness for a single",19.1
"Chahal to Latham, no run, spins in a bit from around middle and leg, tucked off the back foot to short fine leg",18.6
"Chahal to Latham, no run, fuller and around off, slower in pace too as Latham nudges it to mid-wicket",18.5
"Chahal to Latham, FOUR, poor ball and it's bashed! Half tracker and Latham sits back to nail the pull to perfection. Ensured that he got it between deep backward square leg and deep mid-wicket",18.4
"Chahal to Williamson, 1 run, skids through from around leg stump, punched down the ground to long-on",18.3
"Chahal to Latham, 1 run, slightly shorter around off, worked off the back foot to deep mid-wicket",18.2
"Chahal to Latham, no run, floated up outside off, punched off the back foot to cover",18.1
"Shankar to Williamson, no run, angling into Williamson from around middle, straighter lines and he tucks this towards mid-on",17.6
"Shankar to Williamson, no run, nips back in a fraction from around off, Williamson adjusts with a jab towards mid-on",17.5
"Shankar to Latham, 1 run, short of a good length outside off, punched off the back foot to sweeper cover",17.4
"Shankar to Williamson, 1 run, comes in from a good length, faint inside edge onto the pads as the ball goes towards the vacant short fine leg region",17.3
"Shankar to Williamson, FOUR, this is an even better stroke! This might just get KW going. Overpitched from Shankar and it's stroked straight down the ground past the bowler. Well to the left of mid-on and it races to the fence. Back to back boundaries for the skipper",17.2
"Shankar to Williamson, FOUR, probably the best shot Williamson has played today! Slightly short and wide as well, he sits back and cuts it hard wide of backward point. Beautiful connection and third man had no chance",17.1
"Hardik Pandya to Williamson, 1 run, another inside edge that misses the sticks! Was quite close to Williamson as he tried to run this down to third man, dragged it towards backward square leg",16.6
"Hardik Pandya to Latham, 1 run, walks down the track to work this on the leg-side but gets it off the leading edge towards deep point",16.5
"Hardik Pandya to Latham, no run, shortish and angling across Latham who steers this towards point where Jaddu is prowling",16.4
"Hardik Pandya to Latham, no run, on a good length around off, gets a thick inside edge onto the pad and it trickles towards cover",16.3
"Hardik Pandya to Latham, FOUR, superb ball but an even better shot! Late inswing on this one, quite full and Latham did well not to overbalance himself as he wristed this past the bowler. Beautifully timed and beat mid-on with ease. Top shot!",16.2
"Hardik Pandya to Latham, no run, fuller and around off, worked with a closed bat face to mid-wicket",16.1
"Shankar to Williamson, no run, fuller this time, around off and it's patted back down the track",15.6
"Shankar to Williamson, 2 runs, fractionally short and Williamson stands tall to crunch this through point. Timed well but Rayudu at sweeper once again does good work. Puts in a good slide to save a brace",15.5
"Shankar to Williamson, no run, back of a length around middle and leg, worked off the back foot towards mid-wicket",15.4
"Shankar to Latham, 1 run, down the pitch goes Latham and punches this towards sweeper cover. You can afford to do this at Shankar's pace and perhaps it could be a case for MS to stand upto the stumps",15.3
"Shankar to Williamson, 1 run, charges down the track for the lofted hit inside out but slices it aerially over point. Rayudu at sweeper comes around rapidly to keep the batsmen to just a single",15.2
"Shankar to Latham, 1 run, quite full and outside off, dabbed towards cover and they steal a single. They're picking the fielders well on these singles",15.1
"Hardik Pandya to Williamson, no run, back of a length outside off, worked softly from the crease towards mid-on",14.6
"Hardik Pandya to Williamson, no run, muted LBW appeal! Dies down instantly as the Indians feel there was a faint inside edge there. They're right. Was a lovely nipbacker from Hardik and Williamson was struggled around his front pad today. Survives for now",14.5
"Hardik Pandya to Williamson, no run, the hard length, just outside off and defended softly towards backward point",14.4
"Hardik Pandya to Williamson, FOUR, top edge flies over Dhoni! Finally, Williamson has a boundary to his name but I don't think he'll be confident of this stroke. Was hurried on the surprise short ball and didn't connect the pull well at all",14.3
"Hardik Pandya to Williamson, no run, good length just outside off, punched back towards the bowler",14.2
"Hardik Pandya to Latham, 1 run, direct hit and Williamson was nowhere in the frame! Unfortunately, Shankar misses. Probably had more time than he thought and threw in haste. This was stabbed to point where he made a good stop and the run was always risky. In the end, the wayward throw saves KW",14.1
"Shankar to Latham, 1 run, shortish and wider outside off, punched off the back foot to deep point",13.6
"Shankar to Latham, no run, length ball on leg stump, tucked softly towards mid-wicket",13.5
"Shankar to Latham, no run, on a good length outside off, punched off the front foot to short cover",13.4
"Shankar to Williamson, 1 run, back of a length outside off, crunched off the back foot to deep point",13.3
"Shankar to Williamson, no run, very full and around middle, driven back at Shankar who gets a hand on it, almost deflected it to the stumps at the bowler's end but missed. Latham thought of the single but had to rush back as Chahal came charging in from mid-wicket",13.2
"Shankar to Williamson, no run, fuller and outside off, Williamson drives firmly back to the bowler",13.1
"Hardik Pandya to Latham, no run, fuller and around middle, flicked well but finds the mid-wicket fielder",12.6
"Hardik Pandya to Latham, no run, another near drag on! Quite a few today, tells you about the two-paced nature of this pitch. Close to the off pole and Latham wanted to get it square through the off-side, gets an inside edge just past leg stump",12.5
