Column1,Column2
"Siddle to Kohli, no run, fuller length, too straight. Clipped to mid-wicket",25.1
"Lyon to Kohli, 1 run, slowish on middle, tickled away to fine leg",24.6
"Lyon to Rayudu, 1 run, bunted to long-on",24.5
"Lyon to Kohli, 1 run, wristed to mid-wicket",24.4
"Lyon to Rayudu, 2 wides, slipping down leg, Lyon's been penalised. Carey can't gather it cleanly as well, so they will pinch an extra",24.4
"Lyon to Kohli, 1 run, floated up outside off, Kohli leans into a drive to sweeper cover, they won't risk the second",24.3
"Lyon to Kohli, no run, Lyon drops it short, Kohli camps back and pulls it to square leg",24.2
"Lyon to Kohli, no run, 88.9kph, accurate at the stumps. Turned away to backward square leg",24.1
"Stoinis to Rayudu, no run, pitched fuller on off, Rayudu greets it with a straight-batted drive back to the bowler",23.6
"Stoinis to Rayudu, 2 runs, carved uppishly over point, threw his bat on this full ball outside off and just out of reach of Maxi",23.5
"Stoinis to Rayudu, 2 runs, miscue from Rayudu. Gets cramped on the pull, gets it high on the bat and skews it over mid-on",23.4
"Stoinis to Rayudu, no run, Rayudu opens his stance and punches it to extra cover",23.3
"Stoinis to Kohli, 1 run, 131.6kph, length outside off. Kohli hops back and chops it to third man",23.2
"Stoinis to Kohli, no run, whangs it short, Kohli was getting down the pitch, looking for the pull. On seeing the steepy bounce, withdraws from the shot",23.1
"Siddle to Rayudu, no run, shorter outside off, sliced to point",22.6
"Siddle to Rayudu, no run, cutting back into the right-hander, Rayudu gets right behind the line on this occasion to blunt it",22.5
"Siddle to Rayudu, FOUR, Rayudu is looking nervy out there. Siddle plants it in the corridor outside off and Rayudu goes for the drive with hard hands. No feet, just hands following the ball and outside edge flies through the invisible first slip region",22.4
"Siddle to Rayudu, no run, jittery from Rayudu. Wobbling just outside off, held its line and Rayudu groped it away from his body. Just missed the edge",22.3
"Siddle to Kohli, 1 run, corrects his line and lasers it just outside off, glided away to third man",22.2
"Siddle to Kohli, 2 runs, disdain! Half-volley on the stumps, whipped off the pads towards deep mid-wicket",22.1
"Stoinis to Kohli, 1 run, dipping slower ball, driven to sweeper cover",21.6
"Stoinis to Rayudu, 1 run, dug in short, pulled away to deep square leg",21.5
"Stoinis to Rayudu, no run, slight nip back in just outside off, Rayudu chops it from the crease and gets an inside edge which falls periliously close to the stumps",21.4
"Stoinis to Rayudu, no run,",21.3
"Stoinis to Rayudu, no run, back of a length outside off, Rayudu stays back and taps it to point",21.3
"Stoinis to Rayudu, no run, presses forward and stabs it to mid-off.",21.2
"Stoinis to Kohli, 1 run, pushed to cover",21.1
"Lyon to Kohli, 1 run, Kohli retains the strike with a whip round the corner",20.6
"Lyon to Rayudu, leg byes, 1 run, under-cutter, Rayudu sits low to sweep and gets it off the pad",20.5
"Lyon to Rayudu, no run, shade quicker from Lyon, flicked to mid-wicket",20.4
"Lyon to Kohli, 1 run, slower, enough time for Kohli to nurdle it to backward square leg",20.3
"Lyon to Kohli, no run, drifting with the arm outside off, Kohli jumps back and smothers",20.2
"Lyon to Kohli, no run, flighted on middle, blocked",20.1
"Stoinis to Rayudu, FOUR, Rayudu opens his account with a boundary. Seemed like the cutter from Stoinis, Rayudu read it early. Opening the bat face intentionally and guiding it in the pocket between the keeper and the lone slip. Third man fielder was squarer and he had no chance",19.6
"Stoinis to Rayudu, no run, 131kph, length delivery shaping back in around off. Rayudu defends it cautiously off the back foot",19.5
"Stoinis to Rayudu, no run, cross-seamer from Stoinis, outside off. Rayudu leaves it alone",19.4
"Stoinis to Rayudu, no run, gets on top of the bounce of this back of a length delivery and punches it to point",19.3
"Stoinis to Kohli, 1 run, fuller length outside off, driven after opening the bat face to sweeper cover",19.2
"Stoinis to Kohli, no run, hurls it outside off, pushed defensively into the off-side.",19.1
"Lyon to Rayudu, no run, slanted with the arm, smothered off the back foot",18.6
"Lyon to Rayudu, no run, runs down the track, Lyon shortens his length and forces Rayudu to defend it hurriedly",18.5
"Lyon to Rayudu, no run, tossed up on leg, Rayudu crouches low and works it to mid-wicket",18.4
"Lyon to Kohli, 1 run, flatter from Lyon, Kohli punches it down to long-on",18.3
"Lyon to Kohli, no run, camps back and blocks it stoutly",18.2
"Lyon to Kohli, no run, quicker on middle and leg, tucked to square leg",18.1
"Stoinis to Kohli, 1 run, fuller length and straightens a bit, Kohli gropes and squirts it off the outer half behind point",17.6
"Stoinis to Rohit, out Caught by Handscomb!! This is the wicket that Australia were looking for and Stoinis nets the big fish. The centurion from the previous game has been sent back to the hut. Just when it looked like Rohit was settling into his groove, he's mistimed a pull and holes out to Handscomb at deep mid-wicket. His favourite shot has led to his downfall, 99 out of 100 times he would've connected it. Rohit c Handscomb b Stoinis 43(52) [4s-2 6s-2]",17.5
"Stoinis to Kohli, 1 run, silky drive from Kohli after getting onto the front foot to sweeper cover",17.4
"Stoinis to Rohit, 1 run, 129.1kph, good length on off. Sharma fetches it from there and helps it away to fine leg. 100 up for India which draws a round of applause from the Indian fans",17.3
"Stoinis to Rohit, no run, fullish outside off, Sharma gets forward and defends",17.2
"Stoinis to Rohit, 2 runs, pitched up outside off, Sharma creams it through extra cover and picks up a brace",17.1
"Lyon to Rohit, 1 run, tad quicker from Lyon, shortens his length. Tickled to square leg",16.6
"Lyon to Rohit, SIX, ""All hands from Rohit Sharma,"" says Michael Clarke on air. Sharma's been kept quiet for a while, he decides to break free and takes on Lyon. Loads up, gets under the flighted delivery and clubs it powerfully over cow corner",16.5
"Lyon to Kohli, 1 run, flatter trajectory, on middle and leg. Nudged away to deep mid-wicket",16.4
"Lyon to Rohit, 1 run, drifter outside off, draws Sharma forward. Tap-and-run single in front of point",16.3
"Lyon to Rohit, no run, stable push from the crease to point",16.2
"Lyon to Kohli, 1 run, loopy delivery outside off, ample time for Kohli to get onto the back foot and dab it to short third man",16.1
"Siddle to Kohli, 1 run, length delivery, in the channel. Kohli waits back and dinks it to third man",15.6
"Siddle to Rohit, 1 run, wafts it around off, guided to third man",15.5
"Siddle to Rohit, 2 runs, Sharma takes it in front of the stumps and whips it airly towards mid-wicket, Marsh gets low and stretches his left hand. The ball bounces and hits his fingertips to run away. Mid-on chases and cuts it off",15.4
"Siddle to Kohli, 1 run, steered away to sweeper cover",15.3
"Siddle to Kohli, no run, props forward to a full ball outside off, blocked into the off-side",15.2
"Siddle to Kohli, no run, curving in with the angle, Kohli gets inside the line and blunts it with a straight bat",15.1
"Lyon to Rohit, no run, confusion again between Sharma and Kohli, the former has been sent back and he dives in his crease to make his ground. Tucked to Maxi at mid-wicket, who moves across quickly to collect the ball and releases the throw to the keeper, Sharma was looking for a single but sent back in time by his skipper",14.6
"Lyon to Kohli, 1 run, plays with the spin through mid-wicket",14.5
"Lyon to Kohli, no run, crouches low and gets onto the front foot, flicks it down the ground. But mid-wicket fielder swoops down onto the ball",14.4
"Lyon to Kohli, no run, jumps back, rolls his wrists and works it to mid-wicket",14.3
"Lyon to Rohit, 1 run, slower outside off, flowy punch through cover",14.2
"Lyon to Kohli, 1 run, uses the depth of the crease and knocks it down to long-on",14.1
"Siddle to Kohli, 1 run, dabbed towards backward point, there's some hesitation in the running. You'd expect that when these two are out in the middle. Bit of yes-no situation as both of them are ball-watching, eventually they scamper through for a single",13.6
"Siddle to Kohli, FOUR, shot of the innings. Kohli special. Pitched up, too straight and Kohli brings out the full-faced bat drive. Showing the bat-maker's name and nailing it past mid-on. Class written all over it",13.5
"Siddle to Rohit, 1 run, allows for the ball to arrive and guides it using the bowler's pace to third man",13.4
"Siddle to Rohit, no run, stays in his crease and pushes it to extra cover",13.3
"Siddle to Rohit, SIX, Sharma targets the smaller side of the ground and he's made that look so easy. Short, you don't want to be bowling that length to Sharma and Siddle learns. Nonchalant pull off the front foot and he sends it into the stands over deep mid-wicket",13.2
"Siddle to Kohli, 1 run, fuller and on off, Kohli twirls his wrists and places it wide of mid-on, Khawaja puts in the dive and stops it",13.1
"Lyon to Rohit, 2 runs, touch full and straight outside off, Rohit is quick to rock back as he chops it away to square third man to end the over with a couple of runs",12.6
"Lyon to Rohit, no run, tossed up delivery around off and Rohit guides it off his front foot, back to the bowler...",12.5
"Lyon to Kohli, 1 run, back and across as he nurdles the shortish offbreak to the fielder at fine leg",12.4
"Lyon to Kohli, no run, nudges this one late but straight to the fielder at mid-wicket",12.3
"Lyon to Rohit, 1 run, goes deep inside his crease and maneuvers it past the fielder at square leg",12.2
"Lyon to Rohit, no run, tad short around middle and leg, Rohit nudges it into the leg side",12.1
"J Richardson to Kohli, no run, tad full around off and it's been driven to mid-off handsomely",11.6
"J Richardson to Kohli, FOUR, brilliant last minute adjustment by Kohli. He initially wanted to play this off the front foot but transfers his weight on to the back foot as Richardson bowls it short. Connects his back foot punch to perfection and finds the gap at cover too. First of many?",11.5
"J Richardson to Kohli, no run, outside off, skidding along the deck this length delivery, Kohli keeps his head steady and defends it",11.4
"J Richardson to Kohli, no run, in the channel outside off, a length ball and it's been stabbed to backward point. Kohli being watchful against Jhye as he was the one who got the Indian skipper the other day",11.3
"J Richardson to Kohli, no run, tad short around off, holds its line and Kohli defends it solidly off his back foot",11.2
"J Richardson to Rohit, 1 run, steers it past backward point and ambles across for a single",11.1
"Lyon to Kohli, no run, goes back in his crease and whips the short ball to the fielder at short mid-wicket",10.6
"Lyon to Rohit, 1 run, treks back and punches the short ball into the gap at covers for a single",10.5
"Lyon to Rohit, no run, nudges this one to the left of the keeper who is swift to move back and save the single",10.4
"Lyon to Kohli, 1 run, comes on his front foot and eases the loopy delivery to long-on",10.3
"Lyon to Rohit, 1 run, flighted on middle and leg, Rohit flicks it to wide long-on",10.2
"Lyon to Kohli, 1 run, short on leg and it's been clipped away to deep backward square leg",10.1
"Behrendorff to Rohit, no run, 130.9kph, shaping away from the batsman in the corridor of uncertainty, Rohit goes for a drive with lack of footwork and gets beaten on his outside edge. Excellent over by Behrendorff as he bowls five consecutive dots on the trot",9.6
"Behrendorff to Rohit, no run, solid in defence as Rohit keeps a steady head and knocks the length ball to extra cover",9.5
"Behrendorff to Rohit, no run, on a length around off and Rohit dabs it back to the bowler",9.4
"Behrendorff to Rohit, no run, another shortish delivery, seaming into the batsman, Rohit looks to nudge this one to the leg side but gets hit on the thigh yet again",9.3
"Behrendorff to Rohit, no run, seaming away from the batsman around off, tad more carry than usual and Rohit gets hit on the back pad as he looks to play across the line",9.2
"Behrendorff to Rohit, 2 runs, rides the bounce and punches the back of a length delivery through the gap at covers for a brace",9.1
"Siddle to Kohli, no run, takes a step down and flicks this one to mid-on",8.6
"Siddle to Rohit, 1 run, drills the overpitched delivery to mid-on and takes a single",8.5
"Siddle to Kohli, 1 run, 139.9ks, that was very close to an lbw call. Speared into the batsman on a length and Kohli somehow manages to get an inside edge on to his flick. Had he missed it, this could have been flush on the pads",8.4
"Siddle to Kohli, no run, very wide outside off, jagging away from the batsman to an extent and Kohli wisely leaves it alone",8.3
"Siddle to Rohit, 1 run, skiddy back of a length delivery outside off, Rohit plays it late as he steers it down to third man",8.2
"Siddle to Rohit, no run, flicks this one to the fielder at short mid-wicket, does Rohit",8.1
"Behrendorff to Rohit, 1 run, glides the back of a length delivery down to third man for a single",7.6
