Column1,Column2
"Doug Bracewell to Rohit, no run, back of a length delivery outside off stump, Rohit punches it towards cover",9.1
"Lockie Ferguson to Dhawan, FOUR, this is great awareness of the field. Short ball outside off stump, Dhawan knows third man is very fine, so he lets the ball come and guides it nicely to the right of backward point",8.6
"Lockie Ferguson to Dhawan, no run, defended to cover",8.5
"Lockie Ferguson to Dhawan, no run, slower delivery wide outside off stump, Dhawan tries to reach out and play but gets beaten on the under edge, the ball rolls to the keeper",8.4
"Lockie Ferguson to Dhawan, no run, dabbed late off the back foot to backward point, Lockie Ferguson is bowling round the wicket to Dhawan",8.3
"Lockie Ferguson to Rohit, 1 run, punched towards cover for an easy run",8.2
"Lockie Ferguson to Rohit, no run, good length delivery around the off stump, Rohit defends off the front foot",8.1
"Southee to Dhawan, 2 runs, overpitched and on the stumps, flicked to deep mid-wicket, Ferguson hunts it down running to his right",7.6
"Southee to Dhawan, no run, again the slower ball, Dhawan punches it towards cover-point",7.5
"Southee to Dhawan, FOUR, too wide and Dhawan frees his arms on the drive, rolls his wrists to keep the square-drive all along the ground and beat the dive at backward point to the left, he's looking in great touch out there",7.4
"Southee to Dhawan, no run, change of pace and change of angle as well (round the wicket), Dhawan defends into the off-side",7.3
"Southee to Dhawan, no run, fullish fuller length outside off stump, Dhawan punches it towards cover",7.2
"Southee to Dhawan, FOUR, lovely off-drive, such good timing that mid-off had absolutely no chance of cutting that off. The cross-seamed full ball from Southee, doesn't move, so lands right in the slot for Dhawan to come forward and place the ball along the ground",7.1
"Boult to Rohit, 2 runs, shortish delivery from Boult, Rohit pulls but toe-ends it to deep mid-wicket, so it doesn't have the legs to find the boundary",6.6
"Boult to Rohit, no run, length ball just outside off stump, Rohit defends",6.5
"Boult to Rohit, no run, slower delivery on the off stump, Rohit tries to defend and gets an inside edge",6.4
"Boult to Dhawan, 1 run, pushed away to cover",6.3
"Boult to Dhawan, FOUR, anything on the pads on the fuller length zone to Dhawan in limited overs cricket, you are asking for trouble. There is that strong bottom hand grip in display for the whip shot and he nailed that really hard behind square on the on-side",6.2
